index	scenario_id	compound_id	compound_name	smiles	reduced_smiles	halflife	halflife_unit	halflife_model	halflife_comment	rateconstant	rateconstant_unit	rateconstant_comment	reaction_order	acidity	acidity_unit	temperature	temperature_unit	original_sludge_amount	original_sludge_amount_unit	sludge_retention_time	sludge_retention_time_unit	sludge_retention_time_type	total_suspended_solids_concentration_start	total_suspended_solids_concentration_end	total_suspended_solids_concentration_unit	addition_of_nutrients	biological_treatment_technology	bioreactor_type	bioreactor_value	bioreactor_value_unit	nitrogen_content_type	nitrogen_content_influent	oxygen_demand_type	oxygen_demand_value	oxygen_uptake_rate	oxygen_uptake_rate_unit	phosphorus_content	redox	source_of_liquid_matrix	type_of_addition	type_of_aeration	inoculum_source	location	purpose_of_wwtp	k_combined	k_biomass_corrected	hl_combined	hl_biomass_corrected	log_k_combined	log_k_biomass_corrected	log_hl_combined	log_hl_biomass_corrected
11	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/92483749-8ff0-404e-81cf-e4271e12fb9b	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/4af77772-2357-4f4f-ba05-4ec351ed63a3/structure/2d049a40-4801-48ce-9e78-e814eceade30	17alpha-ethynylestradiol (EE2)	C#C[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=CC=C4[C@H]3CC[C@@]21C)O)O	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C					0.204	1 / day	no comment	First order	7.8	pH	30	℃	100	mL				0.7	0.7	g/L	Allylthiourea as inhibitor of ammonia oxidation	nitrification	Erlemeyer flasks	200	mL								aerob	"mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]"	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	"Tokyo, Japan"	other	0.204	0.1428	3.397780297	4.853971853	-0.690369833	-0.845271793	0.531195294	0.686097254
12	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/bec643d4-8f4b-4ba2-9cf5-01cd2773bd0a	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/4af77772-2357-4f4f-ba05-4ec351ed63a3/structure/2d049a40-4801-48ce-9e78-e814eceade30	17alpha-ethynylestradiol (EE2)	C#C[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=CC=C4[C@H]3CC[C@@]21C)O)O	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C					1.416	1 / day	no comment	First order	7.8	pH	30	℃	100	mL				2.7	2.7	g/L		nitrification	Erlemeyer flasks	200	mL								aerob	"mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]"	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	"Tokyo, Japan"	other	1.416	3.8232	0.489510721	0.181300267	0.151063253	0.582427018	-0.310237792	-0.741601556
13	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/1ba1e5b7-cb73-4f8c-923f-08f57b6d9713	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/b7c54076-544f-436f-839b-5bd9e310a150/structure/ef666eff-d46e-46d2-8229-69b6d2ab6059	Acesulfame	CC1=CC(=O)[N-]S(=O)(=O)O1	CC1=CC(=O)NS(=O)(=O)O1					1.45	L / (g TSS * day)	standard deviation: 0.20	Pseudo first order	7	pH	25	℃			12	d	sludge retention time	1.9	1.9	g/L		nitrification & denitrification	amber glass bottle	500	mL								aerob	Effluent WWTP		stirring	nitrification basin	WWTP of Koblenz (Germany)	municipal WW	2.755	1.45	0.251596073	0.132418986	0.440121603	0.161368002	-0.599296142	-0.878049743
14	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/a119c714-3acf-42a7-bfa6-1e0f4be74586	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/b7c54076-544f-436f-839b-5bd9e310a150/structure/ef666eff-d46e-46d2-8229-69b6d2ab6059	Acesulfame	CC1=CC(=O)[N-]S(=O)(=O)O1	CC1=CC(=O)NS(=O)(=O)O1					1.42	L / (g TSS * day)	standard deviation: 0.17	Pseudo first order	7	pH	25	℃			12	d	sludge retention time	1.9	1.9	g/L	addition of 20mg/L NH4-N	nitrification & denitrification	amber glass bottle	500	mL								aerob	Effluent WWTP		stirring	nitrification basin	WWTP of Koblenz (Germany)	municipal WW	2.698	1.42	0.256911483	0.13521657	0.431041945	0.152288344	-0.590216484	-0.868970085
15	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/f8c79be8-3287-4b4c-8ff5-097d12e86422	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/b7c54076-544f-436f-839b-5bd9e310a150/structure/ef666eff-d46e-46d2-8229-69b6d2ab6059	Acesulfame	CC1=CC(=O)[N-]S(=O)(=O)O1	CC1=CC(=O)NS(=O)(=O)O1					3.53	L / (g TSS * day)	standard deviation: 0.09	Pseudo first order			25	℃			12	d	sludge retention time				addition of 200mg/L NO3-N	nitrification & denitrification	amber glass bottle	500	mL								nitrate-reducing	Effluent WWTP		stirring	nitrification basin	WWTP of Koblenz (Germany)	municipal WW		3.53		0.196358975		0.547774705		-0.706949244
16	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/e2c61ba7-4d3c-4734-95b1-98d710e2f98e	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/b7c54076-544f-436f-839b-5bd9e310a150/structure/ef666eff-d46e-46d2-8229-69b6d2ab6059	Acesulfame	CC1=CC(=O)[N-]S(=O)(=O)O1	CC1=CC(=O)NS(=O)(=O)O1					1.27	L / (g TSS * day)	standard deviation: 0.07	Pseudo first order	7	pH	25	℃			12	d	sludge retention time	1.9	1.9	g/L	addition of 15.3mg/L NH4-N	nitrification & denitrification	amber glass bottle	500	mL								aerob	Influent WWTP		stirring	nitrification basin	WWTP of Koblenz (Germany)	municipal WW	2.413	1.27	0.287255359	0.151187031	0.382557322	0.103803721	-0.541731861	-0.820485462
17	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/3cdbe39a-20f9-464d-afb4-bed23075f760	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/b7c54076-544f-436f-839b-5bd9e310a150/structure/ef666eff-d46e-46d2-8229-69b6d2ab6059	Acesulfame	CC1=CC(=O)[N-]S(=O)(=O)O1	CC1=CC(=O)NS(=O)(=O)O1					5.04	L / (g TSS * day)	standard deviation: 0.12	Pseudo first order	7	pH	25	℃			12	d	sludge retention time	1.64	1.64	g/L		nitrification & denitrification	amber glass bottle	500	mL								aerob	Effluent WWTP		stirring	nitrification basin	WWTP of Koblenz (Germany)	municipal WW	8.2656	5.04	0.08385927	0.051133701	0.917274384	0.702430536	-1.076448923	-1.291292771
18	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/c9413c34-d449-46c9-a7f5-ed9f3fd21c4f	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/9c098f0a-18ff-4275-ab86-bce23ff03d52/structure/dede33ef-5141-4714-ae9a-e9cf8f71d608	Acyclovir	C(COCN1C=NC2=C1NC(=NC2=O)N)O	Nc1nc(=O)c2ncn(COCCO)c2[nH]1	0.22	d		no comment	4.9	L / (g TSS * day)	"standard deviation = 0.1, r2 = 0.999"	Pseudo first order	7	pH	22	℃	200	mL	11	d	sludge retention time	0.4	0.4	g/L		nitrification & denitrification	amber glass bottle	1000	mL								aerob	WWTP effluent	spiking in solvent	bubbling air and stirring	nitrification zone of activated sludge unit		municipal WW	1.96	4.9	0.22	0.55	0.292256071	0.69019608	-0.657577319	-0.259637311
19	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/8525f7f9-4541-4dfa-aba3-b84f533b17be	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/608dd5f6-0a7b-45d8-8034-1951618a6e78/structure/3d95fc46-7719-4eaf-a013-e05c1f1eeb06	Alachlor	CCC1=CC=CC(=C1N(CCOC)C(=O)CCl)CC	CCc1cccc(CC)c1N(CCOC)C(=O)CCl					2.68	1 / day	r2 = 0.99	First order	8	pH			100	mL	25	d	sludge age	2.5	2.2	g/L		nitrification & denitrification & biological phosphorus removal	amber Schott bottles	250	mL						mg/(L * h)		aerob	liquid phase of the activated sludge sample	spiking in solvent	shaking	activated sludge from nitrification basin	"WWTP Duebendorf, Switzerland"	mixed WW (municipal & industrial)	2.68	6.7	0.258637008	0.103454803	0.428134794	0.826074803	-0.587309333	-0.985249342
20	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/3009a5ec-4946-48fb-967f-a0c8be940511	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/3f9f29ac-acd7-490c-8deb-6a863a7c1739/structure/f904b853-fa2c-474a-a51f-4e6405aad87c	Atenolol	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1					0.99	L / (g TSS * day)	"90% credibility interval: 0.77, 1.4"	Pseudo first order	7.1	pH	23	℃	50	mL	25	d	sludge age	1.9	2.5	g/L		nitrification & denitrification & biological phosphorus removal	amber Schott bottle	100	mL						mg/(L * h)		aerob	tap water	spiking in solvent	bubbling air and stirring	nitrification basin	"WWTP Duebendorf (ARA Neugut), Switzerland"	mixed WW (municipal & industrial)	1.881	0.99	0.368499299	0.193946999	0.274388796	-0.004364805	-0.433563335	-0.712316935
21	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/41b9b96d-2eeb-446d-899e-1e35f313fd7c	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/3f9f29ac-acd7-490c-8deb-6a863a7c1739/structure/f904b853-fa2c-474a-a51f-4e6405aad87c	Atenolol	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1					0.33	L / (g TSS * day)	"90% credibility interval: 0.29, 0.41"	Pseudo first order	6.3	pH	21	℃	50	mL	25	d	sludge age	2	2.1	g/L		nitrification & denitrification & biological phosphorus removal	amber Schott bottle	100	mL						mg/(L * h)		aerob	tap water	spiking in solvent	bubbling air and stirring	nitrification basin	"WWTP Duebendorf (ARA Neugut), Switzerland"	mixed WW (municipal & industrial)	0.66	0.33	1.050223001	0.5251115	-0.180456064	-0.48148606	0.021281526	-0.27974847
22	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/994a8871-e4dd-4770-be53-c8065eb3d149	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/3f9f29ac-acd7-490c-8deb-6a863a7c1739/structure/f904b853-fa2c-474a-a51f-4e6405aad87c	Atenolol	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1					5.25	1 / day	r2 = 0.9962	First order	7.6	pH	20	℃	70	mL	5.4	d	sludge retention time	3	3	g/L			amber glass Schott bottles (loosely capped)	100	mL	NH₄-N	3.3	Biological Oxygen Demand (BOD5)	54			2	aerob	none (sludge only)	plating	shaking	activated sludge from biological aeration basin	Switzerland (DOM2)	municipal WW	5.25	15.75	0.132028034	0.044009345	0.720159303	1.197280558	-0.879333842	-1.356455097
23	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/8b6de271-2f1d-4b54-a931-1103bcfffb92	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/3f9f29ac-acd7-490c-8deb-6a863a7c1739/structure/f904b853-fa2c-474a-a51f-4e6405aad87c	Atenolol	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1					7.69	1 / day	r2 = 0.9803	First order	7.6	pH	20	℃	70	mL	5.1	d	sludge retention time	3	3	g/L		nitrification	amber glass Schott bottles (loosely capped)	100	mL	NH₄-N	18.6	Biological Oxygen Demand (BOD5)	203			5	aerob	none (sludge only)	plating	shaking	activated sludge from biological aeration basin	Switzerland (DOM1)	municipal WW	7.69	23.07	0.090136174	0.030045391	0.88592634	1.363047595	-1.045100879	-1.522222133
24	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/66a37e72-604a-4565-b11d-028361e8dee5	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/3f9f29ac-acd7-490c-8deb-6a863a7c1739/structure/f904b853-fa2c-474a-a51f-4e6405aad87c	Atenolol	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1					4.67	1 / day	r2 = 0.9800	First order	6.2	pH	20	℃	70	mL	6.1	d	sludge retention time	6.9	6.9	g/L		other	amber glass Schott bottles (loosely capped)	100	mL			Biological Oxygen Demand (BOD5)	1892				aerob	none (sludge only)	plating	shaking	activated sludge from biological aeration basin	Switzerland (IND3)	industrial WW	4.67	32.223	0.14842552	0.021510945	0.669316881	1.508165971	-0.82849142	-1.66734051
25	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/11ab35d6-e858-4d42-90cb-1faa3926e041	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/3f9f29ac-acd7-490c-8deb-6a863a7c1739/structure/f904b853-fa2c-474a-a51f-4e6405aad87c	Atenolol	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1					14.71	1 / day	r2 = 0.9905	First order	7	pH	20	℃	70	mL	9.5	d	sludge retention time	6.8	6.8	g/L		nitrification & denitrification	amber glass Schott bottles (loosely capped)	100	mL	NH₄-N	23	Biological Oxygen Demand (BOD5)	500			3	aerob	none (sludge only)	plating	shaking	activated sludge from biological aeration basin	Switzerland (IND1)	mixed WW (municipal & industrial)	14.71	100.028	0.047120814	0.006929532	1.167612673	2.000121585	-1.326787212	-2.159296124
26	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/7c1e5ee1-a135-4617-8c16-be9bb45cebb8	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/3f9f29ac-acd7-490c-8deb-6a863a7c1739/structure/f904b853-fa2c-474a-a51f-4e6405aad87c	Atenolol	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1					7.08	1 / day	r2 = 0.9959	First order	7.3	pH	20	℃	70	mL	12	d	sludge retention time	4.7	4.7	g/L		nitrification & denitrification	amber glass Schott bottles (loosely capped)	100	mL	NH₄-N	86	Chemical Oxygen Demand (COD)	820			6	aerob	none (sludge only)	plating	shaking	activated sludge from biological aeration basin	Switzerland (IND2)	industrial WW	7.08	33.276	0.097902144	0.020830243	0.850033258	1.522131116	-1.009207797	-1.681305655
